#"arc_length" "flux" "flux"
173.172 1.93807e+13 2.96965e+13
173.497 1.9468e+13 2.98299e+13
173.822 1.95532e+13 2.99633e+13
174.146 1.96367e+13 3.00966e+13
174.471 1.97183e+13 3.02298e+13
174.796 1.97982e+13 3.0363e+13
175.121 1.98765e+13 3.04962e+13
175.446 1.99531e+13 3.06294e+13
175.771 2.00281e+13 3.07625e+13
176.096 2.01016e+13 3.08956e+13
176.421 2.01736e+13 3.10286e+13
176.746 2.02442e+13 3.11616e+13
177.07 2.03135e+13 3.12946e+13
177.395 2.03813e+13 3.14276e+13
177.72 2.04479e+13 3.15605e+13
178.045 2.05132e+13 3.16934e+13
178.37 2.05773e+13 3.18263e+13
178.695 2.06402e+13 3.19591e+13
179.02 2.07019e+13 3.2092e+13
179.345 2.07625e+13 3.22247e+13
179.67 2.08296e+13 3.23693e+13
179.995 2.09072e+13 3.25352e+13
180.319 2.09819e+13 3.27027e+13
180.644 2.10536e+13 3.28719e+13
180.969 2.11223e+13 3.30428e+13
181.294 2.11878e+13 3.32155e+13
181.619 2.125e+13 3.339e+13
181.944 2.13089e+13 3.35664e+13
182.269 2.13643e+13 3.37447e+13
182.594 2.14162e+13 3.3925e+13
182.919 2.14643e+13 3.41073e+13
183.244 2.15086e+13 3.42918e+13
183.568 2.1549e+13 3.44785e+13
183.893 2.15854e+13 3.46674e+13
184.218 2.16175e+13 3.48587e+13
184.543 2.16454e+13 3.50524e+13
184.868 2.16687e+13 3.52486e+13
185.193 2.16874e+13 3.54474e+13
185.518 2.17013e+13 3.56489e+13
185.843 2.17103e+13 3.58531e+13
186.168 2.17141e+13 3.60602e+13
186.493 2.17127e+13 3.62702e+13
186.818 2.17057e+13 3.64834e+13
187.142 2.1693e+13 3.66997e+13
187.467 2.16743e+13 3.69193e+13
187.792 2.16496e+13 3.71424e+13
188.117 2.1636e+13 3.73739e+13
188.442 2.19344e+13 3.76921e+13
188.767 2.22313e+13 3.80058e+13
189.092 2.25269e+13 3.83153e+13
189.417 2.28211e+13 3.86208e+13
189.742 2.3114e+13 3.89222e+13
190.066 2.34057e+13 3.92199e+13
190.391 2.36961e+13 3.95139e+13
190.716 2.39855e+13 3.98044e+13
191.041 2.42737e+13 4.00914e+13
191.366 2.45608e+13 4.03751e+13
191.691 2.48468e+13 4.06556e+13
192.016 2.51319e+13 4.09331e+13
192.341 2.5416e+13 4.12075e+13
192.666 2.56991e+13 4.1479e+13
